country,med_age_all,med_age_male,med_age_female,ed_index_2015,mean_years_school_2015,hdi_rank,continent,gdp_growth_1990_2015,gni_ppp_cap_usd,inequality,pop_growth_2015_20,per_urban,population
Democratic Republic of the Congo,18.6,18.3,18.8,0.475,6.1,176,Africa,-0.3,900,NA,3.22,44.5,86790567
Denmark,42.2,41.2,43.2,0.923,12.7,5,Europe,3.2,57470,28.5,0.38,87.9,5771876
Djibouti,23.9,22.1,25.3,0.31,4.1,172,Africa,5.5,NA,44.1,1.51,77.8,973560
Dominica,33.5,33,34,0.618,7.9,96,North America,4,10680,NA,0.51,70.5,71808
Dominican Republic,28.1,27.9,28.3,0.622,7.7,99,North America,9,16960,45.3,1.07,81.1,10738958
DR Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1,NA,NA,NA
East Timor,18.9,18.3,19.6,NA,NA,NA,NA,NA,6990,NA,2.14,30.6,1293119
Ecuador,27.7,27,28.4,0.665,8.3,89,South America,8.7,11410,45,1.42,63.8,17373662
Egypt,23.9,23.6,24.2,0.601,7.1,111,Africa,5.1,12080,31.8,1.87,42.7,100388073
El Salvador,27.1,25.6,28.6,0.584,6.5,117,North America,6.5,7850,40,0.52,72,6453553
Equatorial Guinea,19.8,19.3,20.3,0.439,5.5,135,Africa,20.2,18170,NA,3.59,72.1,1355986
Eritrea,19.7,19.2,20.1,0.267,3.9,179,Africa,7.3,2080,NA,2.28,40.1,3497117
Estonia,42.7,39.4,46.1,0.877,12.5,30,Europe,5.7,35050,34.6,-0.23,68.9,1325648
Eswatini,NA,NA,NA,NA,NA,NA,NA,NA,10680,51.5,NA,NA,NA
Eswatini ,21.7,21.5,21.9,NA,NA,NA,NA,NA,NA,NA,1.75,23.8,1148130
Ethiopia,17.9,17.7,18.1,0.318,2.6,174,Africa,6.8,2010,33.2,2.43,20.8,112078730
EU,42.9,41.5,44.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
European Union,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.6,NA,NA,NA
Falkland Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7,3377
Faroe Islands,37.6,37.1,38.3,NA,NA,NA,NA,NA,NA,NA,NA,42.1,48678
Federated States of Micronesia,25.1,24.4,25.8,NA,NA,NA,NA,NA,NA,NA,NA,22.7,113815
Fiji,28.9,28.7,29.1,0.777,10.5,91,Oceania,4.8,10250,36.4,0.72,56.2,889953
Finland,42.5,40.9,44.3,0.847,11.2,23,Europe,2,48490,26.8,0.36,85.4,5532156
France,41.4,39.6,43.1,0.839,11.6,21,Europe,2.6,46900,32.3,0.39,80.4,65129728
French Guiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282731
French Polynesia,31.9,31.7,32.1,NA,NA,NA,NA,NA,NA,NA,NA,61.8,279287
Gabon,18.6,18.4,18.8,0.618,8.1,109,Africa,3.3,16580,38,2.17,89.4,2172579
Gambia,NA,NA,NA,0.358,3.3,173,Africa,2.4,1680,NA,2.93,61.3,NA
Gaza Strip,17.2,16.8,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,38.1,35.3,40.9,0.794,12.2,70,Europe,2,10900,36.5,-0.27,58.6,3996765
Germany,47.1,46,48.2,0.914,13.2,4,Europe,3.1,55800,31.4,0.2,77.3,83517045
Ghana,21.1,20.6,21.6,0.551,6.9,139,Africa,5.4,4650,42.8,2.16,56.1,28833629
Gibraltar,34.7,33.8,35.7,NA,NA,NA,NA,NA,NA,NA,NA,100,33701
Greece,44.5,43.5,45.6,0.83,10.5,29,Europe,2.8,29600,35.8,-0.21,79.1,10473455
Greenland,33.9,35,32.7,NA,NA,NA,NA,NA,NA,NA,NA,86.8,56672
Grenada,31.5,31.5,31.6,0.725,8.6,79,North America,5.2,14270,NA,0.46,36.3,112003
Guadeloupe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447905
Guam,29,28.3,29.7,NA,NA,NA,NA,NA,NA,NA,NA,94.8,167294
Guatemala,22.1,21.4,22.8,0.508,6.3,125,North America,9.2,8310,48.7,1.94,51.1,17581472
Guernsey,43.8,42.5,45.1,NA,NA,NA,NA,NA,NA,NA,NA,30.9,NA
GuernseyandJersey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172259
Guinea,18.9,18.7,19.1,0.33,2.6,183,Africa,3.5,2480,33.7,2.57,36.1,12771246
Guinea-Bissau,20.1,19.7,20.6,0.353,2.9,178,Africa,4.8,1790,50.7,2.44,43.4,1920922
Guyana,26.2,25.9,26.6,0.568,8.4,127,South America,6.6,8570,44.5,0.57,26.6,782766
Haiti,23,22.7,23.2,0.425,5.2,163,North America,9.1,1870,60.8,1.2,55.3,11263770
Honduras,23,22.6,23.3,0.518,6.2,130,North America,6.7,4780,50,1.63,57.1,9746117
Hong Kong,44.4,43.5,45,0.822,11.6,12,Asia,5.7,67700,53.7,NA,100,7436154
Hungary,42.3,40.4,44.3,0.834,12,43,Europe,5.2,29790,30.9,-0.34,71.4,9684679
Iceland,36.5,35.9,37.1,0.906,12.2,9,Europe,4,54140,25.6,0.77,93.8,339031
India,27.9,27.2,28.6,0.624,6.3,131,Asia,7.7,7680,35.7,1.1,34,1366417754
Indonesia,30.2,29.6,30.8,0.622,7.9,113,Asia,7.6,12650,38.1,1.05,55.3,270625568
Iran,30.3,30,30.5,0.704,8.8,69,Asia,-1.7,21050,38.8,1.04,74.9,82913906
